consti_no,consti_name,votes,percentage,margin,lat,lng
146,Thuraiyur (SC),65715,37,22071,11.224354721793043,78.57317862164079
150,Jayankondam,94077,43,5452,11.24284675617289,79.40396532450646
160,Sirkazhi (SC),81909,42,12148,11.278339172514842,79.75076113195276
148,Kunnam,97593,44,6329,11.23929096810374,79.02623801612259
112,Avanashi (SC),117284,55,-50902,11.234352797943325,77.17956352505863
113,Tiruppur (North),113384,47,-40102,11.222055815873228,77.36192525978575
100,Modakkurichi,78125,42,-281,11.175772869572336,77.76780918358034
149,Ariyalur,100741,44,3234,11.084341675428016,79.18049307775053
117,Kavundampalayam,135669,43,-9776,11.119562322942892,76.91893582972867
116,Sulur,118968,49,-31932,10.993450093846798,77.10983156131331
102,Kangayam,86866,43,7331,11.04308414566682,77.65021420791152
161,Mayiladuthurai,70900,40,2742,11.164070069578111,79.63380661702556
145,Musiri,63788,35,26836,11.068405735086651,78.44529857442728
114,Tiruppur (South),70826,40,4709,11.111783745723324,77.37328705492752
170,Thiruvidaimarudur,85083,42,10680,11.031602319891187,79.47774081803698
115,Palladam,126903,48,-32691,10.999643610564243,77.32999615621127
162,Poompuhar,92803,44,3299,11.080081044604578,79.78078195404433
144,Manachanallur,56716,28,59618,10.999748134718681,78.67762527529203
134,Aravakurichi,68553,38,24816,10.869384147960085,77.91033028252573
119,Thondamuthur,124225,53,-41630,10.971050080696722,76.76647210339235
118,Coimbatore(North),81454,40,-4001,11.034958187320536,76.91787341706215
143,Lalgudi,67965,38,16949,10.975222540637782,78.88003879570572
121,Singanallur,81244,40,-10854,11.015244646073592,77.03417672131457
135,Karur,89309,43,12448,10.997927354713704,78.09968983343177
120,Coimbatore(South),53209,34,-10826,11.011634849218945,76.98538992383968
171,Kumbakonam,74674,37,21383,10.98545504621344,79.38697097868908
122,Kinathukadavu,101537,43,-1095,10.886846572811146,76.93465174715617
172,Papanasam,70294,35,16273,10.874507186807302,79.24436954263678
136,Krishnarayapuram(SC),64915,35,31625,10.767260245813754,78.24098238484422
137,Kulithalai,77289,39,23540,10.823346867214207,78.44220162688988
101,Dharapuram (SC),88593,45,1393,10.77005397086412,77.54610085851957
123,Pollachi,80567,45,-1725,10.770866388722931,77.02959945733599
139,Srirangam,93989,39,19915,10.762094417673291,78.63632505665969
173,Thiruvaiyaru,49560,23,53650,10.801381181646258,79.0029445380112
163,Nagapattinam,59043,41,7238,10.905939165010517,79.77819628080414
141,Tiruchirappalli,40505,23,53797,10.820370224106592,78.70823681714798
133,Vedasandur,88928,41,17553,10.614325840565153,78.01996469112522
125,Udumalaipettai,96893,49,-21895,10.674106503712204,77.19836950766964
140,Tiruchirappalli,33024,18,85109,10.794335952542236,78.68727556438323
142,Thiruverumbur,55727,28,49697,10.745853995215748,78.79722304505421
168,Thiruvarur,57732,27,51174,10.742280379885665,79.61319077372657
164,Kilvelur (SC),51003,35,16985,10.701927749316235,79.76558353659294
174,Thanjavur,56623,29,47149,10.766979059286223,79.11360687200326
167,Mannargudi,49779,25,37393,10.656701845014164,79.43622869778025
175,Orathanadu,90063,46,-28835,10.62815945869209,79.2492606253422
128,Oddanchatram,81228,40,28742,10.558886993639897,77.65122882761827
138,Manapparai,85834,38,12243,10.526219120765882,78.34047874599469
179,Viralimalai,102179,52,-23598,10.547479690185606,78.63276757850284
126,Madathukulam,84313,46,-6438,10.465887552268777,77.23527322335858
124,Valparai (SC),71672,49,-12223,10.444287317006138,76.94482557777462
178,Gandharvakottai(SC),56989,36,12721,10.576088333609755,79.0070162358156
166,Thiruthuraipoondi(SC),67024,36,30068,10.481414535802225,79.58756769748976
165,Vedaranyam,78719,49,-12329,10.440166636880855,79.75560723986486
180,Pudukkottai,72801,40,13001,10.457350919859119,78.96456015664731
127,Palani,78510,38,30056,10.322933498432258,77.5374194408651
129,Athoor,30238,13,135571,10.37209478564588,77.83034741459483
176,Pattukkottai,53796,30,25269,10.431980904195422,79.3782177084098
177,Peravurani,65627,38,23503,10.332200804823339,79.2201605563566
